country,cases,confirmed,deaths,recovered,updated_at
Iceland,,209137,263,,2023-03-10T13:21:02.000Z
India,,44690738,530779,,2023-03-10T13:21:02.000Z
Indonesia,,6738225,160941,,2023-03-10T13:21:02.000Z
Iran,,7572311,144933,,2023-03-10T13:21:02.000Z
Iraq,,2465545,25375,,2023-03-10T13:21:02.000Z
Ireland,,1704502,8708,,2023-03-10T13:21:02.000Z
Israel,,4804188,12329,,2023-03-10T13:21:02.000Z
Italy,,25603510,188322,,2023-03-10T13:21:02.000Z
Jamaica,,154416,3514,,2023-03-10T13:21:02.000Z
Japan,,33329551,73046,,2023-03-10T13:21:02.000Z
Jordan,,1746997,14122,,2023-03-10T13:21:02.000Z
Kazakhstan,,1498668,19071,,2023-03-10T13:21:02.000Z
Kenya,,342937,5688,,2023-03-10T13:21:02.000Z
Kiribati,,5014,18,,2023-03-10T13:21:02.000Z
"Korea, North",,1,6,,2023-03-10T13:21:02.000Z
"Korea, South",,30615522,34093,,2023-03-10T13:21:02.000Z
Kosovo,,273348,3211,,2023-03-10T13:21:02.000Z
Kuwait,,663860,2570,,2023-03-10T13:21:02.000Z
Kyrgyzstan,,206708,2991,,2023-03-10T13:21:02.000Z
Laos,,218023,758,,2023-03-10T13:21:02.000Z
Latvia,,976267,6269,,2023-03-10T13:21:02.000Z
Lebanon,,1232828,10841,,2023-03-10T13:21:02.000Z
Lesotho,,34790,723,,2023-03-10T13:21:02.000Z
